cell,run_id,mean_pt,mean_gt,peak_occupancy,task_success
baseline,e1_rtk_compaction-repo_task_001-seed17-rtk0-off-standard,90849,5246,5871,False
compaction_only,e1_rtk_compaction-repo_task_001-seed17-rtk0-on-standard,5863,647,1264,True
baseline,e1_rtk_compaction-repo_task_001-seed52-rtk0-off-standard,199149,11040,13660,False
compaction_only,e1_rtk_compaction-repo_task_001-seed52-rtk0-on-standard,79685,8404,4036,True
baseline,e1_rtk_compaction-repo_task_002-seed17-rtk0-off-standard,2659,463,823,False
compaction_only,e1_rtk_compaction-repo_task_002-seed17-rtk0-on-standard,74133,7174,4048,False
baseline,e1_rtk_compaction-repo_task_002-seed52-rtk0-off-standard,79504,1752,5482,False
compaction_only,e1_rtk_compaction-repo_task_002-seed52-rtk0-on-standard,73402,8325,4067,True
baseline,e1_rtk_compaction-repo_task_003-seed17-rtk0-off-standard,12706,871,1919,False
compaction_only,e1_rtk_compaction-repo_task_003-seed17-rtk0-on-standard,59079,1585,3768,True
baseline,e1_rtk_compaction-repo_task_003-seed52-rtk0-off-standard,2339,434,718,True
compaction_only,e1_rtk_compaction-repo_task_003-seed52-rtk0-on-standard,1009,301,475,True
baseline,e1_rtk_compaction-repo_task_004-seed17-rtk0-off-standard,68593,1741,4564,True
compaction_only,e1_rtk_compaction-repo_task_004-seed17-rtk0-on-standard,60073,2976,3623,True
baseline,e1_rtk_compaction-repo_task_004-seed52-rtk0-off-standard,6087,481,1113,True
compaction_only,e1_rtk_compaction-repo_task_004-seed52-rtk0-on-standard,3937,999,1238,False
baseline,e1_rtk_compaction-repo_task_005-seed17-rtk0-off-standard,121714,2549,8134,False
compaction_only,e1_rtk_compaction-repo_task_005-seed17-rtk0-on-standard,5880,557,1189,True
baseline,e1_rtk_compaction-repo_task_005-seed52-rtk0-off-standard,6822,705,1327,False
compaction_only,e1_rtk_compaction-repo_task_005-seed52-rtk0-on-standard,3749,478,900,True
baseline,e1_rtk_compaction-repo_task_006-seed17-rtk0-off-standard,134582,2330,9600,False
compaction_only,e1_rtk_compaction-repo_task_006-seed17-rtk0-on-standard,63422,3084,3863,False
baseline,e1_rtk_compaction-repo_task_006-seed52-rtk0-off-standard,11576,664,1875,False
compaction_only,e1_rtk_compaction-repo_task_006-seed52-rtk0-on-standard,7019,940,1624,True
