run_id,task_id,seed,rtk,factor_key,factor_b,rtk_on,factor_b_on,pt,gt,success,interaction_on
e1_sensitivity-repo_task_001-seed07-rtk0-tau_alt-standard,repo_task_001,7,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_001-seed07-rtk1-tau_alt-standard,repo_task_001,7,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_001-seed13-rtk0-tau_alt-standard,repo_task_001,13,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_001-seed13-rtk1-tau_alt-standard,repo_task_001,13,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_001-seed17-rtk0-tau_alt-standard,repo_task_001,17,off,compaction,tau_alt,0,1,92331.0,5368.0,False,0
e1_sensitivity-repo_task_001-seed17-rtk1-tau_alt-standard,repo_task_001,17,on,compaction,tau_alt,1,1,97589.0,7798.0,False,1
e1_sensitivity-repo_task_001-seed42-rtk0-tau_alt-standard,repo_task_001,42,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_001-seed42-rtk1-tau_alt-standard,repo_task_001,42,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_001-seed52-rtk0-tau_alt-standard,repo_task_001,52,off,compaction,tau_alt,0,1,17463.0,1511.0,True,0
e1_sensitivity-repo_task_001-seed52-rtk1-tau_alt-standard,repo_task_001,52,on,compaction,tau_alt,1,1,1721.0,518.0,True,1
e1_sensitivity-repo_task_001-seed99-rtk0-tau_alt-standard,repo_task_001,99,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_001-seed99-rtk1-tau_alt-standard,repo_task_001,99,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_002-seed07-rtk0-tau_alt-standard,repo_task_002,7,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_002-seed07-rtk1-tau_alt-standard,repo_task_002,7,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_002-seed13-rtk0-tau_alt-standard,repo_task_002,13,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_002-seed13-rtk1-tau_alt-standard,repo_task_002,13,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_002-seed17-rtk0-tau_alt-standard,repo_task_002,17,off,compaction,tau_alt,0,1,3736.0,521.0,False,0
e1_sensitivity-repo_task_002-seed17-rtk1-tau_alt-standard,repo_task_002,17,on,compaction,tau_alt,1,1,101774.0,13239.0,False,1
e1_sensitivity-repo_task_002-seed42-rtk0-tau_alt-standard,repo_task_002,42,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_002-seed42-rtk1-tau_alt-standard,repo_task_002,42,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_002-seed52-rtk0-tau_alt-standard,repo_task_002,52,off,compaction,tau_alt,0,1,5202.0,682.0,False,0
e1_sensitivity-repo_task_002-seed52-rtk1-tau_alt-standard,repo_task_002,52,on,compaction,tau_alt,1,1,4509.0,549.0,False,1
e1_sensitivity-repo_task_002-seed99-rtk0-tau_alt-standard,repo_task_002,99,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_002-seed99-rtk1-tau_alt-standard,repo_task_002,99,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_003-seed07-rtk0-tau_alt-standard,repo_task_003,7,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_003-seed07-rtk1-tau_alt-standard,repo_task_003,7,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_003-seed13-rtk0-tau_alt-standard,repo_task_003,13,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_003-seed13-rtk1-tau_alt-standard,repo_task_003,13,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_003-seed17-rtk0-tau_alt-standard,repo_task_003,17,off,compaction,tau_alt,0,1,1607.0,337.0,True,0
e1_sensitivity-repo_task_003-seed17-rtk1-tau_alt-standard,repo_task_003,17,on,compaction,tau_alt,1,1,7643.0,932.0,False,1
e1_sensitivity-repo_task_003-seed42-rtk0-tau_alt-standard,repo_task_003,42,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_003-seed42-rtk1-tau_alt-standard,repo_task_003,42,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_003-seed52-rtk0-tau_alt-standard,repo_task_003,52,off,compaction,tau_alt,0,1,4220.0,1024.0,False,0
e1_sensitivity-repo_task_003-seed52-rtk1-tau_alt-standard,repo_task_003,52,on,compaction,tau_alt,1,1,1607.0,362.0,True,1
e1_sensitivity-repo_task_003-seed99-rtk0-tau_alt-standard,repo_task_003,99,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_003-seed99-rtk1-tau_alt-standard,repo_task_003,99,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_004-seed07-rtk0-tau_alt-standard,repo_task_004,7,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_004-seed07-rtk1-tau_alt-standard,repo_task_004,7,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_004-seed13-rtk0-tau_alt-standard,repo_task_004,13,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_004-seed13-rtk1-tau_alt-standard,repo_task_004,13,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_004-seed17-rtk0-tau_alt-standard,repo_task_004,17,off,compaction,tau_alt,0,1,2499.0,811.0,False,0
e1_sensitivity-repo_task_004-seed17-rtk1-tau_alt-standard,repo_task_004,17,on,compaction,tau_alt,1,1,46745.0,2433.0,False,1
e1_sensitivity-repo_task_004-seed42-rtk0-tau_alt-standard,repo_task_004,42,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_004-seed42-rtk1-tau_alt-standard,repo_task_004,42,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_004-seed52-rtk0-tau_alt-standard,repo_task_004,52,off,compaction,tau_alt,0,1,52727.0,1798.0,False,0
e1_sensitivity-repo_task_004-seed52-rtk1-tau_alt-standard,repo_task_004,52,on,compaction,tau_alt,1,1,90411.0,4137.0,False,1
e1_sensitivity-repo_task_004-seed99-rtk0-tau_alt-standard,repo_task_004,99,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_004-seed99-rtk1-tau_alt-standard,repo_task_004,99,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_005-seed07-rtk0-tau_alt-standard,repo_task_005,7,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_005-seed07-rtk1-tau_alt-standard,repo_task_005,7,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_005-seed13-rtk0-tau_alt-standard,repo_task_005,13,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_005-seed13-rtk1-tau_alt-standard,repo_task_005,13,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_005-seed17-rtk0-tau_alt-standard,repo_task_005,17,off,compaction,tau_alt,0,1,77682.0,3115.0,False,0
e1_sensitivity-repo_task_005-seed17-rtk1-tau_alt-standard,repo_task_005,17,on,compaction,tau_alt,1,1,6810.0,774.0,True,1
e1_sensitivity-repo_task_005-seed42-rtk0-tau_alt-standard,repo_task_005,42,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_005-seed42-rtk1-tau_alt-standard,repo_task_005,42,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_005-seed52-rtk0-tau_alt-standard,repo_task_005,52,off,compaction,tau_alt,0,1,83578.0,4020.0,True,0
e1_sensitivity-repo_task_005-seed52-rtk1-tau_alt-standard,repo_task_005,52,on,compaction,tau_alt,1,1,103582.0,4478.0,True,1
e1_sensitivity-repo_task_005-seed99-rtk0-tau_alt-standard,repo_task_005,99,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_005-seed99-rtk1-tau_alt-standard,repo_task_005,99,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_006-seed07-rtk0-tau_alt-standard,repo_task_006,7,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_006-seed07-rtk1-tau_alt-standard,repo_task_006,7,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_006-seed13-rtk0-tau_alt-standard,repo_task_006,13,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_006-seed13-rtk1-tau_alt-standard,repo_task_006,13,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_006-seed17-rtk0-tau_alt-standard,repo_task_006,17,off,compaction,tau_alt,0,1,89457.0,5653.0,False,0
e1_sensitivity-repo_task_006-seed17-rtk1-tau_alt-standard,repo_task_006,17,on,compaction,tau_alt,1,1,94254.0,2612.0,True,1
e1_sensitivity-repo_task_006-seed42-rtk0-tau_alt-standard,repo_task_006,42,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_006-seed42-rtk1-tau_alt-standard,repo_task_006,42,on,compaction,tau_alt,1,1,57.0,11.0,True,1
e1_sensitivity-repo_task_006-seed52-rtk0-tau_alt-standard,repo_task_006,52,off,compaction,tau_alt,0,1,57727.0,1853.0,False,0
e1_sensitivity-repo_task_006-seed52-rtk1-tau_alt-standard,repo_task_006,52,on,compaction,tau_alt,1,1,82494.0,4515.0,False,1
e1_sensitivity-repo_task_006-seed99-rtk0-tau_alt-standard,repo_task_006,99,off,compaction,tau_alt,0,1,98.0,11.0,True,0
e1_sensitivity-repo_task_006-seed99-rtk1-tau_alt-standard,repo_task_006,99,on,compaction,tau_alt,1,1,57.0,11.0,True,1
