term,estimate,std_error
const,15.62500000000047,217.70358683602927
rtk_on,-123.58333333333339,164.56844294139674
factor_b_on,-124.05555555555561,164.5684429413967
interaction_on,-5.055555555555227,232.7349239463461
task_repo_task_002,205.12499999999903,201.55435648537497
task_repo_task_003,135.33333333333334,201.55435648537497
task_repo_task_004,72.58333333333331,201.55435648537497
task_repo_task_005,-103.91666666666626,201.55435648537497
task_repo_task_006,413.6249999999998,201.55435648537497
seed_13,4.6654648850904694e-14,201.55435648537502
seed_17,951.3333333333326,201.55435648537494
seed_42,-1.3808646244672134e-13,201.55435648537497
seed_52,982.6666666666656,201.55435648537497
seed_99,2.2073761911212925e-13,201.55435648537497
